vessel_imo,earliest_sanction_date,sanction_country
9144782,2024-06-13,"EU, UK"
9144782,2024-06-13,"EU, UK"
9249087,2024-01-18,US
9249128,2024-02-23,US
9256054,2024-02-23,US
9256066,2024-01-16,US
9256066,2024-01-16,US
9256078,2024-02-23,US
9258002,2024-01-16,US
9258868,2024-01-18,US
9259185,2024-04-04,"EU, UK"
9259185,2024-04-04,"EU, UK"
9259599,2024-01-18,US
9270529,2024-02-23,"EU, UK"
9274446,2024-01-18,US
9274446,2024-01-18,US
9274616,2024-01-18,US
9274616,2024-01-18,US
9274800,2024-01-18,US
9277735,2024-06-24,EU
9286657,2024-07-18,UK
9288899,2024-07-18,UK
9289520,2024-06-13,"EU, UK"
9292204,2024-07-18,UK
9296391,2024-07-18,UK
9296585,2024-01-18,US
9299719,2023-12-01,US
9299745,2024-01-18,US
9305568,2024-09-11,UK
9305568,2024-09-11,UK
9306782,2024-01-16,US
9306794,2024-07-18,UK
9311622,2024-09-11,UK
9312884,2024-02-23,"EU, UK"
9312896,2024-02-23,"EU, UK"
9314818,2024-01-18,US
9316127,2024-09-11,UK
9318541,2024-06-24,EU
9318553,2024-06-24,EU
9322827,2024-01-18,US
9323338,2024-01-18,US
9327413,2024-01-18,US
9331141,2024-06-24,EU
9331141,2024-06-24,EU
9331153,2024-06-24,EU
9333424,2024-07-18,UK
9333436,2024-06-24,"EU, UK"
9339301,2024-02-08,US
9339313,2024-02-23,US
9339325,2024-06-13,UK
9339337,2024-06-24,"EU, UK"
9339337,2024-06-24,"EU, UK"
9341067,2024-02-23,"EU, UK"
9341079,2024-09-11,UK
9341081,2024-09-11,UK
9341081,2024-09-11,UK
9341093,2024-02-23,US
9353113,2024-06-24,EU
9354313,2024-07-18,UK
9354313,2024-07-18,UK
9381732,2024-01-18,US
9381732,2024-01-18,US
9381744,2024-01-18,US
9394935,2024-06-13,"EU, UK"
9402471,2024-06-24,EU
9410870,2024-01-18,US
9410894,2024-01-18,US
9411020,2024-02-23,US
9412347,2024-09-11,UK
9412359,2024-02-23,US
9412995,2024-01-18,US
9412995,2024-01-18,US
9413559,2024-02-23,US
9413561,2024-09-11,UK
9418494,2024-09-11,UK
9421960,2024-09-11,US
9511387,2024-09-11,UK
9511533,2024-07-18,UK
9610781,2024-09-11,UK
9610793,2024-02-23,US
9610808,2024-02-23,US
9610810,2023-12-01,US
9826902,2024-07-18,UK
9826902,2024-07-18,UK
